obs,time,elapsed,date,TIME,E,A,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,blfa_1,blfa_2,blfa_3,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Tled,F,Q_modavg,Q,F_dc,f_farred,f_red,f_blue,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_percent,Desiccant_percent,Humidifier_percent,Heatx_setpoint,CO2_r_setpoint,H2O_r_setpoint,SS_s,SS_r,MatchH2O,MatchCO2,MatchValveR,MatchValveS,,,Vflow,VPchamber,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_a,Wc_b,Wco_a,Wco_b,Ww_a,Ww_b,Wwo_a,Wwo_b,Flow_a_v,Flow_b_v,leaf_t_v,leaf2_t_v,TleafJunction,TleafJunction2,Console_RH,Console_T,Console_H2O,Fan_percent,Flow_percent,Pump,chopper_t_pwm_v,heatx_t_pwm_v,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,h2o_at,changed,time,hhmmss,co2_adj,h2o_cv,h2o_adj,count,co2_cv,co2_at,dF/dt:MN,dF/dt:SLP,dF/dt:SD,dF/dt:OK,H2O_r:MN,H2O_r:SLP,H2O_r:SD,H2O_r:OK,CO2_r:MN,CO2_r:SLP,CO2_r:SD,CO2_r:OK,CO2_s:MN,CO2_s:SLP,CO2_s:SD,CO2_s:OK,Stable,Total,State
1,1471425750,0,20160817 17:22:30,1471425726,0.000761422,-0.482675537,406.1830841,40.19782975,39.58503136,0.0458834,2.111748641,0.045336668,0.028383996,0,31.63593577,31.5499,4.654774234,64.38418999,3.057438482,4.748741084,1.597335752,0.056435814,-0.613167794,3.649852571,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,-,0,0,#DIV/0!,0.5,0,-0.482675537,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-,0,0,#DIV/0!,1,0,1.331961866,0.050002,0,0,0,1471425726,399.991,399.851,30.8942,30.3142,499.99,98.8649,0.0999051,31.9023,31.5499,999.9,10006.9,0,4.64841,0,600.2,0.050002,0.050002,-265.14,0,0,0,600.4669231,-3.342222342,1.055042825,-264.8176923,15,2,503.235,525.502,31.3119,30.0352,30,29.8641,29.8236,20.0209,-30,-30,-999.9,399.956,0,100.783,106.463,-0.031,-2.043,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
2,1471425855,104.5,20160817 17:24:14,1471425829,0.000922099,3.431637855,268.3179861,26.55421735,39.56471509,0.045986137,2.10587801,0.045435458,0.028446088,347.578304,34.55204147,32.7952,4.994260945,63.83660285,3.067593289,4.805383044,1.926667657,0.05616071,-0.610178824,3.636484242,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,MPF-63-20160817-09_24_35,805.3023462,852.69,0.055574305,0.5,789.94991,3.431637855,21.95045848,0.360822808,0.004955141,1.825540349,DARK-64-20160817-09_24_37,545.02,307.67,0.154021042,0.834966663,0.187879929,0.860561107,999.936,789.94991,0.79000047,0.440000435,1471425829,399.783,402.77,30.9966,30.2943,500.003,98.8655,0.0999765,32.1118,32.7952,999.9,9958.12,0,5.1276,0,797.657,5.0002,999.936,6796.43,0,0.900004,0.0999961,805.3023462,-66.53398296,-576.1849576,6863.828846,15,2,503.382,525.411,31.2796,30.004,30.0003,29.84,29.8033,20.1346,-30,-30,-999.9,402.803,0,100.785,106.462,-0.038,-2.033,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
3,1471426153,403.0999999,20160817 17:29:13,1471426144,0.000989961,4.124002937,248.3198556,24.57728736,39.23777294,0.04851803,2.111064112,0.047906964,0.029996113,347.6271004,34.79394868,33.0092,5.054719164,63.40018147,3.093679722,4.879607047,1.961039442,0.056403668,-0.612818529,3.648291926,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,MPF-65-20160817-09_29_51,743.9834231,812.962,0.084848464,0.5,790.0623999,4.124002937,33.51779052,0.381988334,0.005830778,1.963619456,DARK-66-20160817-09_29_53,502.42,310.542,0.222123181,0.837147397,0.324612588,0.882524316,1000.08,790.0623999,0.7899992,0.43999955,1471426144,396.444,399.994,31.2574,30.5036,499.992,98.8743,0.100014,32.3831,33.0092,999.9,10001.2,0,4.88953,0,743.568,5.0002,1000.08,6366.96,0,0.899999,0.1,743.9834231,-2.737743592,-17.64068372,6368.853462,15,2,502.901,524.497,31.3578,30.2366,30.0004,30.0397,29.9974,20.017,-30,-30,-999.9,400,0,100.727,106.418,-0.011,-1.946,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
4,1471426244,494,20160817 17:30:44,1471426235,0.001024928,2.90898061,195.7038686,19.36979763,29.44240118,0.05027105,2.109491835,0.049614868,0.031067534,347.6166725,34.85767806,33.0839,5.075972453,63.58918863,3.1159915,4.900190688,1.959980953,0.0563299,-0.612017059,3.644709197,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,MPF-67-20160817-09_31_22,744.3621923,808.32,0.079124366,0.5,790.0387,2.90898061,31.25565571,0.372352534,0.004293025,1.980638856,DARK-68-20160817-09_31_24,507.34,300.98,0.21249853,0.84175355,0.307706812,0.885090598,1000.05,790.0387,0.7899992,0.43999955,1471426235,297.473,299.999,31.4826,30.7024,500.02,98.875,0.100037,32.4577,33.0839,999.9,9988.12,0,4.45612,0,743.661,5.0002,1000.05,6376.12,0,0.899999,0.1,744.3621923,-3.94437607,-32.65435903,6379.930769,15,2,502.653,524.05,31.4073,30.2995,30.0004,30.1001,30.0554,15.9904,-30,-30,-999.9,300,0,100.717,106.438,0.132,-1.526,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
5,1471426335,585.0999999,20160817 17:32:15,1471426326,0.001063235,1.656579792,141.4509814,14.00038324,19.654244,0.05206818,2.10595401,0.051363433,0.03216467,347.6027685,34.92031225,33.1313,5.089498758,63.52594272,3.12568141,4.920322747,1.963817348,0.056164263,-0.610217427,3.636657076,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,MPF-69-20160817-09_32_53,744.6128077,804.206,0.0741019,0.5,790.0071,1.656579792,29.27051342,0.374861665,0.002707894,1.995886626,DARK-70-20160817-09_32_55,502.74,301.466,0.197677988,0.841880445,0.292497606,0.88736498,1000.01,790.0071,0.7899992,0.43999955,1471426326,198.574,200.042,31.5799,30.7706,500.007,98.877,0.0999255,32.5304,33.1313,999.9,9958.75,0,4.65757,0,744.182,5.0002,1000.01,6384.87,0,0.899999,0.1,744.6128077,-4.017059833,-30.08136752,6388.555385,15,2,502.428,523.79,31.4585,30.358,30.0004,30.1612,30.1167,11.803,-30,-30,-999.9,200,0,100.705,106.431,0.154,-1.053,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
6,1471426426,676,20160817 17:33:46,1471426417,0.00111898,0.227947655,89.83025803,8.891317599,9.8725807,0.054569732,2.107686261,0.05379681,0.033691538,347.5968593,34.9788879,33.1889,5.105977986,63.38555286,3.132886299,4.942587322,1.973091687,0.056245305,-0.611097941,3.640598057,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,MPF-71-20160817-09_34_24,746.2801538,796.5,0.063050654,0.5,789.99367,0.227947655,24.9048089,0.377928437,0.00089953,2.024871312,DARK-72-20160817-09_34_26,495.48,301.02,0.166832258,0.842713303,0.256180472,0.891625161,999.993,789.99367,0.7899992,0.43999955,1471426417,99.7441,100.011,31.652,30.8003,499.988,98.8791,0.0999945,32.6105,33.1889,999.9,9973.12,0,4.21195,0,745.651,5.0002,999.993,6406.36,0,0.899999,0.1,746.2801538,-3.408547001,-23.13811968,6409.105,15,2,502.394,523.608,31.5144,30.4291,30.0003,30.233,30.1892,7.48302,-30,-30,-999.9,100,0,100.689,106.415,0.157,-0.624,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
7,1471426517,767.0999999,20160817 17:35:17,1471426508,0.001180335,-0.565148956,64.43209338,6.377626288,4.983918863,0.057249448,2.113775941,0.056401799,0.035326237,347.5933833,35.04176842,33.2647,5.127734919,63.26312004,3.142851116,4.967904072,1.984883803,0.056531125,-0.614203333,3.654477474,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,MPF-73-20160817-09_35_55,746.5790769,792.166,0.057547185,0.5,789.98577,-0.565148956,22.73072849,0.379120033,-0.000104399,2.041420611,DARK-74-20160817-09_35_57,491.84,300.326,0.151791464,0.843373821,0.237804604,0.894021168,999.983,789.98577,0.7899992,0.43999955,1471426508,50.3517,49.9542,31.7517,30.8534,499.992,98.8822,0.0999369,32.7012,33.2647,999.9,10023.8,0,4.51717,0,746.496,5.0002,999.983,6415.66,0,0.899999,0.1,746.5790769,-1.127589737,-12.89504279,6417.463846,15,2,502.452,523.416,31.5793,30.5071,30.0004,30.3076,30.2626,5.3268,-30,-30,-999.9,50,0,100.674,106.4,0.158,-0.489,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
8,1471426608,858.0999999,20160817 17:36:48,1471426599,0.001235991,-1.250323569,31.75379913,3.143127389,-0.167396299,0.059717627,2.113548189,0.058795851,0.036829039,347.5899073,35.11532175,33.3296,5.146427261,63.13276962,3.152837834,4.993979914,1.993589427,0.056520409,-0.614086912,3.653957684,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,MPF-75-20160817-09_37_26,748.7145,784.41,0.045506177,0.5,789.97787,-1.250323569,17.97443624,0.377468416,-0.000971734,2.071493224,DARK-76-20160817-09_37_28,488.32,296.09,0.12055625,0.845865934,0.194057317,0.898308991,999.973,789.97787,0.7899992,0.43999955,1471426599,-1.69114,-2.67549,31.8519,30.9114,500.024,98.8843,0.099994,32.7942,33.3296,999.9,10021.9,0,4.566,0,748.887,5.0002,999.973,6439.52,0,0.899999,0.1,748.7145,-1.141435893,-0.206837624,6440.441154,15,2,502.457,523.325,31.6494,30.576,30.0003,30.3759,30.3295,0,-30,-30,-999.9,0,0,100.66,106.39,0.159,-0.548,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
9,1471426728,978.0999999,20160817 17:38:48,1471426719,0.001310999,3.872141356,285.5843722,28.26896204,39.25750179,0.063137169,2.115572474,0.062108753,0.038908974,347.6828089,35.19135027,33.3821,5.161591527,62.9081827,3.160001473,5.023196247,2.001590054,0.05661572,-0.615122451,3.658579571,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,MPF-77-20160817-09_39_26,724.8234615,784.989,0.076645072,0.5,790.1890999,3.872141356,30.28205025,0.385239793,0.005511107,2.069227722,DARK-78-20160817-09_39_28,482.58,302.409,0.198954193,0.843045471,0.326061464,0.897988897,1000.24,790.1890999,0.7899995,0.4399995,1471426719,396.595,400.047,31.9236,30.9261,500.025,98.8863,0.100076,32.8979,33.3821,999.9,10038.8,0,4.48359,0,725.073,5.0002,1000.24,6243.82,0,0.899995,0.100005,724.8234615,1.480888893,19.29811969,6240.202692,15,2,502.783,524.509,31.7434,30.6539,30.0001,30.4536,30.4067,20.093,-30,-30,-999.9,400,0,100.647,106.35,0.014,-1.814,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
10,1471426819,1069,20160817 17:40:19,1471426810,0.001345628,3.794436872,289.5441298,28.66041451,39.2644256,0.064491584,2.107083808,0.063414733,0.039729461,347.557233,35.25969993,33.4517,5.181754923,62.8469849,3.16996253,5.043937327,2.011792393,0.056217107,-0.610791569,3.639227083,MPF-62-20160817-09_22_53,600.4669231,2409.31,1808.843077,0.750772245,-0.482675537,MPF-79-20160817-09_40_57,726.9350769,788.062,0.077566134,0.5,789.9036101,3.794436872,30.63488483,0.378729085,0.005414727,2.057259454,DARK-80-20160817-09_40_59,489.6,298.462,0.204806384,0.844527559,0.325845028,0.896290021,999.879,789.9036101,0.7899992,0.43999955,1471426810,396.672,400.074,32.0248,31.001,499.996,98.8846,0.100016,32.9712,33.4517,999.9,9968.12,0,5.1276,0,726.989,5.0002,999.879,6261.08,0,0.899999,0.1,726.9350769,-1.344136761,-6.042051286,6262.166538,15,2,502.797,524.44,31.8088,30.6978,30.0001,30.4998,30.4539,20.0576,-30,-30,-999.9,400,0,100.638,106.343,0.016,-1.859,100,100,,,2.91506,2.60587,1.87866,1.87546,1.87478,1.87559,1.87598,1.87093,1.8743,1.8727,0.162483,0.157191,0.0977194,0.0919216,28138.7,29670.3,29522.7,35978.2,42294.7,57193.6,47062.1,64033.8,1.8657,1.955,0,0,30.0817,999.9,42.132,32.106,20.4531,57.8698,25.7732,1,0.164103,0,20.1677,5.22672,11.9501,4.98455,3.29,0,0,0,0,0,FALSE,0,--:--:--,0,0,0,0,0,0,-125.4321073,135.9531131,11.39994675,-1,19.83540323,-0.31952024,0.02543648,1,897.9053548,165.850224,14.33484931,0,900.554871,-24.79962497,5.308551268,0,1,3,1/3
