obs,time,elapsed,date,TIME,E,A,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,blfa_1,blfa_2,blfa_3,DarkAdaptedID,Fo,Fm,Fv,Fv.Fm,Adark,LightAdaptedID,Fs,Fm.,PhiPS2,PS2.1,Qabs_fs,Afs,ETR,Fv..Fm.,PhiCO2,NPQ,DarkPulseID,Fo.,Fv.,qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,TIME.1,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,F_avg,dF.dt,dF_dc.dt,F_dc_avg,period,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_.,Desiccant_.,Humidifier_.,Heatx_setpoint,CO2_r_setpoint,H2O_r_setpoint,SS_s,SS_r,MatchH2O,MatchCO2,MatchValveR,MatchValveS
1,1475427934,7372.4,20161002 11:05:33,1475427933,0.00769676,29.47670127,274.6465048,30.69808991,38.03046287,0.343267555,2.001378446,0.440392376,0.280079265,165.2454263,25.9663788,24.9904,3.177858178,55.40208034,1.979484258,3.57294211,1.19837392,-0.034795123,0.039060573,3.019639422,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.026994079,0,-,0,0,0,0,0,0,1000.06,843.08478,0.84300048,0.19600096,1475427933,367.719,400.026,23.5181,17.1985,599.683,83.9679,0.200645,26.9704,25.0272,999.9,9993.12,0,6.93277,1000.1,0.900015,0.0999851,0,2.8427,0,7893.66,38.812,41.812,40.437,40.625,39.187,2.617226923,-0.565411956,-144.1986325,7913.660385,15,2,506.541,663.349,25.4141,27.5924,30.0001,27.5408,27.5134,29.9284,43.693,0,25.4324,460.667,17.2388,100.741,101.259,-0.031,5.465,100,100
2,1475427936,7374.4,20161002 11:05:35,1475427935,0.007808186,26.31896987,239.3627621,30.50294123,37.78891833,0.348191915,2.007293862,0.440575655,0.280183587,165.194701,25.96738978,24.9941,3.178559302,55.40163571,1.97958466,3.57315201,1.198974642,-0.034940654,0.039223945,3.029813727,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.026838821,0,-,0,0,0,0,0,0,999.706,843.0932101,0.84300048,0.19600096,1475427935,321.236,350.063,23.5197,17.1997,600.208,83.9672,0.199888,26.9714,24.9913,999.9,10035,0,6.93277,1000.11,0.899984,0.100016,0,2.5274,0,7887.49,38.812,41.812,40.437,40.625,39.187,2.616973077,-0.644694012,-161.5989744,7909.169615,15,2,501.762,662.342,25.4212,27.5924,30.0001,27.5408,27.5134,29.7805,43.693,0,25.4324,460.667,17.2388,100.741,101.26,-0.031,5.465,100,100
3,1475427938,7376.4,20161002 11:05:37,1475427937,0.007901756,22.76927067,205.2409979,30.36985638,37.54531485,0.353072516,2.002955811,0.440551479,0.280178389,165.2453662,25.97099565,24.986,3.177024585,55.3908952,1.979456689,3.573613826,1.197567896,-0.034833901,0.039104105,3.022351608,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.026431247,0,-,0,0,0,0,0,0,1000.04,842.8318799,0.84300048,0.19600096,1475427937,275.105,300.048,23.5183,17.2012,599.744,83.9667,0.199957,26.9736,24.9877,999.9,10004.4,0,6.93277,1000.11,0.899984,0.100016,0,2.6852,0,7878.68,38.812,41.812,40.437,40.625,39.187,2.585403846,-0.587723072,-178.2270085,7902.337692,15,2,514.578,663.419,25.4292,27.5924,30,27.5408,27.5134,29.5901,43.693,0,25.439,455.833,17.2388,100.742,101.261,-0.031,5.465,100,100
4,1475427940,7378.4,20161002 11:05:39,1475427939,0.00798733,18.61361222,172.8187945,30.21499906,37.298769,0.356110544,2.000470697,0.441054218,0.280509651,165.2453662,25.96910656,24.984,3.176645742,55.38869685,1.979506037,3.573844754,1.197139705,-0.034772816,0.039035532,3.018078875,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.026110027,0,-,0,0,0,0,0,0,999.99,843.092367,0.842999637,0.195999125,1475427939,229.601,250.048,23.5189,17.2009,600.127,83.9665,0.200108,26.9747,25.009,999.9,9986.88,0,6.93277,999.79,0.899984,0.100016,0,2.6955,0,7869.08,38.812,41.812,40.437,40.625,39.187,2.602726923,-0.424393157,-191.5278633,7896.839615,15,2,498.758,662.436,25.4351,27.5924,30,27.5408,27.5134,29.3941,43.693,0,25.439,450.667,17.2388,100.742,101.261,-0.031,5.465,100,100
5,1475427942,7380.4,20161002 11:05:41,1475427941,0.008064806,14.43678852,140.417258,30.024638,37.0506591,0.360203754,2.003896549,0.440798867,0.280336164,165.2437139,25.97255453,24.9865,3.177119302,55.3773835,1.979322619,3.57424366,1.197796683,-0.034857038,0.039130079,3.023969437,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.025885437,0,-,0,0,0,0,0,0,999.973,843.083937,0.842999637,0.195999125,1475427941,184.13,200.052,23.5173,17.1997,600.164,83.9654,0.199135,26.9766,25.0247,999.9,10011.2,0,6.93277,1000.1,0.900015,0.0999851,0,2.5337,0,7865.47,38.812,41.812,40.437,40.625,39.187,2.579561538,-0.18091624,-199.729231,7891.172308,15,2,522.239,662.835,25.4384,27.5924,30,27.5408,27.5134,29.2541,43.693,0,25.439,450.667,17.2388,100.742,101.261,-0.031,5.465,100,100
6,1475427944,7382.4,20161002 11:05:43,1475427943,0.008215388,9.731410166,109.8533705,29.89952631,36.80124073,0.36710591,2.000833382,0.440473934,0.280133345,165.2454263,25.97428673,24.9857,3.176967756,55.36981447,1.979191594,3.574495621,1.197776162,-0.034781728,0.039045536,3.018702356,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.025393392,0,-,0,0,0,0,0,0,999.963,843.075507,0.842999637,0.195999125,1475427943,139.148,150.023,23.5148,17.1972,599.687,83.967,0.200911,26.9778,25.0009,999.9,9989.38,0,6.93277,1000.09,0.900015,0.0999851,0,2.322,0,7856.35,38.812,41.812,40.437,40.625,39.187,2.550576923,0.146119665,-211.9401709,7883.021154,15,2,504.517,662.881,25.4413,27.5924,30,27.5408,27.5134,29.0845,43.693,0,25.4491,445.833,17.2388,100.743,101.261,-0.031,5.465,100,100
7,1475427946,7384.4,20161002 11:05:45,1475427945,0.008346209,5.009698138,78.79567849,29.73480376,36.54600248,0.371974114,2.002936646,0.440666518,0.280252858,165.2454263,25.97289838,24.9877,3.177346632,55.37149727,1.979181987,3.574369639,1.198164645,-0.03483343,0.039103576,3.022318651,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.025063387,0,-,0,0,0,0,0,0,999.928,843.08478,0.84300048,0.19600096,1475427945,94.2044,100,23.5139,17.1967,600.163,83.9706,0.200124,26.9772,24.9997,999.9,10003.8,0,6.93277,1000.09,0.900015,0.0999851,0,2.4343,0,7850.19,38.75,41.812,40.437,40.625,39.187,2.526861538,-0.46443076,-217.2188034,7876.681923,15,2,496.84,661.944,25.4445,27.5921,30,27.5408,27.5134,28.906,43.693,0,25.4491,440.667,17.2388,100.743,101.261,-0.031,5.465,100,100
8,1475427948,7386.4,20161002 11:05:47,1475427947,0.008391869,-0.020543142,48.54829264,29.50517232,36.28622938,0.376575412,2.004060248,0.439857837,0.279727003,165.2420617,25.97692728,24.9928,3.178312946,55.36623707,1.979121848,3.574600609,1.199191098,-0.034861065,0.039134599,3.024250978,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.024926098,0,-,0,0,0,0,0,0,999.926,842.8209209,0.84300048,0.19600096,1475427947,49.5872,49.9828,23.512,17.1976,599.814,83.9751,0.199868,26.9783,25.0209,999.9,10011.2,0,6.93277,999.787,0.899984,0.100016,0,2.6547,0,7840.47,38.812,41.812,40.437,40.625,39.187,2.523030769,-1.218352132,-218.114872,7870.139231,15,2,513.251,662.974,25.4494,27.5908,30,27.5408,27.5134,28.7575,43.693,0,25.4571,440.667,17.2388,100.742,101.261,-0.031,5.465,100,100
9,1475427950,7388.4,20161002 11:05:49,1475427949,0.008597971,28.80462443,285.7511659,29.31214799,36.02721287,0.383788262,2.003004123,0.43988354,0.279746169,165.2420617,25.97683755,24.9958,3.178881485,55.36185378,1.979151168,3.57493659,1.199730318,-0.034835089,0.039105439,3.022434688,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.024679039,0,-,0,0,0,0,0,0,999.974,843.083937,0.842999637,0.195999125,1475427949,368.129,400.099,23.5123,17.1974,600.072,83.9746,0.200541,26.9799,25.0474,999.9,10003.8,0,6.93277,999.786,0.899984,0.100016,0,2.3748,0,7831.8,38.812,41.812,40.437,40.625,39.187,2.507711538,-0.515018796,-221.6523077,7861.287308,15,2,492.316,662.295,25.4527,27.5901,30.0001,27.5408,27.5134,28.5642,43.693,0,25.4571,435.833,17.2388,100.742,101.261,-0.031,5.465,100,100
10,1475427952,7390.4,20161002 11:05:51,1475427951,0.00875313,34.94644384,362.3902621,29.09513949,35.76957418,0.390755439,2.007376658,0.440099745,0.279875532,165.2420617,25.97871882,24.9934,3.178426646,55.35697429,1.979034853,3.575041589,1.199391793,-0.034942693,0.039226234,3.029956193,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.024553159,0,-,0,0,0,0,0,0,1000.06,843.075507,0.842999637,0.195999125,1475427951,461.046,500.027,23.5119,17.1959,600.117,83.9721,0.199526,26.9804,24.9857,999.9,10035,0,6.93277,1000.08,0.900015,0.0999851,0,2.7874,0,7828.37,38.812,41.812,40.437,40.625,39.187,2.527215385,0.017928217,-221.4598291,7854.709231,15,2,503.984,662.504,25.456,27.5901,30.0001,27.5408,27.5132,28.3669,43.693,0,25.4571,430.667,17.2388,100.742,101.261,-0.031,5.465,100,100
