"","obs","time","elapsed","date","hhmmss","Tree","TIME","E","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","blfa_1","blfa_2","blfa_3","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","TIME","CO2_s","CO2_r","H2O_s","H2O_r","Flow","Pa","¦¤Pcham","Tair","Tleaf","Tleaf2","Fan_speed","Qamb_in","Qamb_out","Q","f_red","f_green","f_blue","f_white","Tled","Pc","time","hhmmss","count","co2_adj","h2o_adj","co2_at","h2o_at","co2_cv","h2o_cv","A:MN","A:SLP","A:SD","A:OK","¦¤CO2:MN","¦¤CO2:SLP","¦¤CO2:SD","¦¤CO2:OK","Stable","Total","State","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
"1",1,1531927408.8,0,"20180718 11:23:28","11:23:28",NA,1531927400.8,0.000569154935654294,6.84754256383693,395.292483870968,256.826155106972,25.473552216204,39.2074698325253,0.0822224006035149,3,0.0811108787426349,0.0507930043182378,215.02224678894,24.3922673268452,23.7934725806452,2.95801945771255,79.4483120427334,2.28041063322184,2.87030721558347,0.67760882449071,-25.0997326623544,-80.7665237032241,-5.6116184797615,103.5443719436,0,0,3,43,7,1,0,72278.8305496839,1199.99870967742,963.359116354676,0.802800126854839,0.223200510732258,20.958,1,"1: Needles",1531927400.8,395.292483870968,419.995806451613,22.9912612903226,21.0489903225806,600.024483870968,99.0859258064516,0.1000477,23.2941,23.9013483870968,23.6855967741935,14000,1046.94387096774,27.9267064516129,1199.99870967742,0.329995161290323,0.330004580645161,0.330003193548387,0.00999760870967742,23,17743.064516129,1531935528.6,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.3107981187839,0.0656373903569126,0.0432379383079677,1,-24.7056047619048,-0.172585689976497,0.0377503954717911,1,2,2,"2/2",1.86096,1.85791,1.86073,1.8535,1.85208,1.85291,1.85658,1.86281,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.495,297.196,22.9998,23.675,30.0003,23.6926,23.6972,20.4686,5.37157,100,23,420,21,100.901,104.532
"2",2,1531927410.8,2,"20180718 11:23:30","11:23:30",NA,1531927402.35484,0.000569009217080166,6.85040230237036,395.284870967742,256.676690003912,25.4588334233241,39.206878055715,0.082169967568972,3,0.0810598533159525,0.0507609891575865,215.022462528842,24.3925442693602,23.7949241935483,2.95827780443119,79.4472858732615,2.28041405315539,2.87034859415238,0.677863751275801,-25.0933064732353,-80.9626938193513,-5.62529639931685,103.341165836939,0,0,3,43,7,1,0,72278.0454874752,1199.99967741935,963.359934677363,0.802800161370968,0.223200545080645,20.958,1,"1: Needles",1531927402.35484,395.284870967742,419.997806451613,22.9912,21.0494387096774,600.02835483871,99.086335483871,0.100051183870968,23.2943387096774,23.901764516129,23.6880838709677,13999.7741935484,1046.96129032258,27.9215064516129,1199.99967741935,0.329994870967742,0.330004741935484,0.330003387096774,0.00999760483870968,23,17743.0741935484,1531926694.2,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.3114508430579,0.0657306548450118,0.0432956327721092,1,-24.7093523809524,-0.209290338673115,0.0398338527845899,1,2,2,"2/2",1.86096,1.85791,1.86072,1.8535,1.85208,1.8529,1.85658,1.86281,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.677,297.269,22.9997,23.675,30.0003,23.6926,23.6982,20.4677,5.37157,100,23,420,21,100.901,104.532
"3",3,1531927412.8,4,"20180718 11:23:32","11:23:32",NA,1531927403.95161,0.000568863194339339,6.85336367580867,395.28,256.559434193039,25.4473218066909,39.2065775923889,0.0821366069719013,3,0.0810273878535534,0.0507406192169752,215.022453274389,24.3925846743074,23.795435483871,2.95836880458506,79.4469382962277,2.28040452072905,2.87034915332582,0.677964283856005,-25.0868668703649,-81.0448661419366,-5.63102040401283,103.259699858075,0,0,3,43,7,1,0,72279.9437643976,1199.99967741935,963.359942516071,0.802800167903226,0.223200533658064,20.958,1,"1: Needles",1531927403.95161,395.28,420.003,22.9909967741935,21.0497387096774,600.03,99.0868096774194,0.100039119354839,23.2943419354839,23.9014096774194,23.6894612903226,14000.1161290323,1046.98096774194,27.9174258064516,1199.99967741935,0.329995032258065,0.33000464516129,0.330003322580645,0.00999759806451613,23,17743.0806451613,1531926694.2,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.3152762577773,0.0638335006253955,0.0421625584068174,1,-24.7107142857143,-0.322326314448979,0.0408891042153946,1,2,2,"2/2",1.86096,1.85791,1.86075,1.8535,1.85208,1.8529,1.8566,1.86282,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.669,297.262,22.9997,23.676,30.0002,23.6935,23.6988,20.4677,5.37157,100,23,420,21,100.901,104.532
"4",4,1531927414.8,6,"20180718 11:23:34","11:23:34",NA,1531927405.59677,0.000568740895346344,6.85513111065063,395.278483870968,256.504880910523,25.4420281208125,39.2066079464016,0.0821250473902992,3,0.0810161383566461,0.0507335609055725,215.02233283851,24.3922251222119,23.7951016129032,2.95830938149432,79.4484192745325,2.28039327573891,2.87028149403332,0.677916105755417,-25.0814734847738,-81.0539963999999,-5.6316341482539,103.255228805483,0,0,3,43,7,1,0,72282.6947316812,1199.99935483871,963.359744515988,0.802800218709677,0.223200454516129,20.958,1,"1: Needles",1531927405.59677,395.278483870968,420.007741935484,22.9907774193548,21.0499161290323,600.023774193549,99.0872967741935,0.10000925483871,23.2939516129032,23.9005193548387,23.6896838709677,14000.6225806452,1046.99612903226,27.9133903225806,1199.99935483871,0.329996193548387,0.330004064516129,0.330002741935484,0.00999758064516129,23,17743.0870967742,1531926694.2,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.3176777643102,0.0627925618368404,0.041560369748087,1,-24.7146428571429,-0.34516808755431,0.0412858510460742,1,2,2,"2/2",1.86097,1.85791,1.86078,1.8535,1.85208,1.85291,1.8566,1.86283,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.643,297.217,22.9996,23.677,30.0001,23.6945,23.6988,20.4681,5.37157,100,23,420,21,100.9,104.532
"5",5,1531927416.8,8,"20180718 11:23:36","11:23:36",NA,1531927407.3,0.000568585641156196,6.85515578924925,395.278290322581,256.493881210169,25.4410635375137,39.2067836146802,0.0821182345726666,3,0.0810095082721813,0.050729400970148,215.022300168681,24.391581144191,23.794285483871,2.9581641294443,79.4510141170212,2.28037357363909,2.87016295384271,0.677790555805218,-25.0746267749883,-81.0326055096718,-5.63010518839952,103.284962695622,0,0,3,43,7,1,0,72286.0167755626,1199.99967741935,963.360091548289,0.802800292096774,0.2232003402,20.958,1,"1: Needles",1531927407.3,395.278290322581,420.007709677419,22.990464516129,21.0501096774194,600.016741935484,99.0878258064516,0.0999732064516129,23.2932677419355,23.899364516129,23.6892064516129,14001.2322580645,1047.00935483871,27.9088193548387,1199.99967741935,0.329997870967742,0.330003225806452,0.330001903225806,0.00999755548387097,23,17743.1032258065,1531926694.2,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.3195066800165,0.0619643445306105,0.0411979755789287,1,-24.7208357142857,-0.22188583974028,0.0361923684499039,1,2,2,"2/2",1.86097,1.85791,1.86077,1.85351,1.85208,1.85291,1.85658,1.86283,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.482,297.368,22.9993,23.6771,30.0001,23.6946,23.6996,20.1683,5.37157,100,23,405,21,100.9,104.532
"6",6,1531927418.8,10,"20180718 11:23:38","11:23:38",NA,1531927409.04194,0.000568416709244105,6.85242512216523,395.274709677419,256.548607567037,25.4465976764917,39.2065917029974,0.0821204385949356,3,0.0810116531798637,0.0507307467563951,215.022323173622,24.3907798018023,23.7930177419355,2.95793851313345,79.4547202432397,2.28036355079802,2.87001646197608,0.677574962335429,-25.067176877665,-80.9642590064478,-5.62529637895351,103.365590910555,0,0,3,43,7,1,0,72283.6002296684,1200,963.360384387096,0.80280032032258,0.223200296232258,20.958,1,"1: Needles",1531927409.04194,395.274709677419,419.994580645161,22.9902677419355,21.0504709677419,600.011161290323,99.0882677419355,0.0999442612903226,23.2924225806452,23.8976483870968,23.6883870967742,14000.5838709677,1047.01838709677,27.9032612903226,1200,0.329998516129032,0.330002903225806,0.330001580645161,0.00999754580645162,23,17743.1161290323,1531926694.2,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.3212751368339,0.0595182291717373,0.0401355881582216,1,-24.7250023809524,-0.086778703849495,0.0315042362086905,1,2,2,"2/2",1.86096,1.85791,1.86078,1.85352,1.8521,1.85293,1.85658,1.86284,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.329,297.453,22.999,23.678,30.0001,23.6955,23.7006,19.805,5.37157,100,23,395,21,100.901,104.532
"7",7,1531927420.8,12,"20180718 11:23:40","11:23:40",NA,1531927410.83226,0.000568240307794057,6.7880839733238,395.261161290322,257.792260077675,25.57005516916,39.2054039844892,0.0821172171857025,3,0.0810085181722619,0.0507287797486542,215.022376385109,24.3899483039992,23.7920532258064,2.9577668711083,79.4592470263435,2.28037263158297,2.86986438573593,0.677394239525326,-25.0593975737179,-80.9501723225836,-5.62426525036347,103.388541238444,0,0,3,43,7,1,0,72279.0872011166,1200.00032258064,963.360645483971,0.802800322096774,0.223200290974194,20.958,1,"1: Needles",1531927410.83226,395.261161290322,419.756129032258,22.9902677419355,21.051064516129,600.008548387097,99.0886774193549,0.0999295677419355,23.2915451612903,23.8969322580645,23.6871741935484,13999.4774193548,1047.01548387097,27.8953290322581,1200.00032258064,0.329998580645161,0.330002838709678,0.330001580645161,0.00999753612903226,23,17743.1225806452,1531926694.2,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.3171079536382,0.0391564370336209,0.0707805937226649,1,-24.6150785714286,1.80362782211522,0.422011925771295,0,1,2,"1/2",1.86097,1.8579,1.86078,1.85352,1.85209,1.85296,1.8566,1.86284,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.557,297.308,22.9991,23.679,30.0001,23.6965,23.7011,19.5754,5.37157,100,23,395,21,100.901,104.532
"8",8,1531927422.8,14,"20180718 11:23:42","11:23:42",NA,1531927412.68065,0.00056805530282398,6.56945722379776,395.20035483871,261.996316822968,25.987151338243,39.199525988224,0.0821029668374963,3,0.0809946499937544,0.0507200783970765,215.022185835045,24.3893206699389,23.7916967741936,2.95770344039011,79.4638189222542,2.28041098698342,2.86974753782539,0.677292453406691,-25.0512388545375,-81.0015626322643,-5.62780641756371,103.341577930679,0,0,3,43,7,1,0,72279.148342406,1199.99935483871,963.359906032031,0.802800353306452,0.2232002645,20.958,1,"1: Needles",1531927412.68065,395.20035483871,418.931290322581,22.990564516129,21.0519935483871,600.00864516129,99.0890580645161,0.0999368548387097,23.2908709677419,23.8973709677419,23.6860225806452,13999.3935483871,1047.01096774194,27.8848903225806,1199.99935483871,0.329999032258065,0.33000264516129,0.33000135483871,0.00999751451612903,23,17743.1161290323,1531926694.2,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.2784200438481,-0.0810393920356886,0.335540986474215,1,-24.0900904761905,9.80099654550505,1.72537858575879,0,1,2,"1/2",1.86096,1.8579,1.86075,1.85352,1.85207,1.85295,1.85658,1.86283,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.54,297.269,22.9995,23.679,30.0002,23.6966,23.7021,19.2907,5.37157,100,23,385,21,100.901,104.533
"9",9,1531927424.8,16,"20180718 11:23:44","11:23:44",NA,1531927414.56774,0.00056780007189007,6.17503089184467,395.009967741935,269.503326033106,26.7318413032505,39.1807549328071,0.0820766022292394,3,0.0809689922673676,0.0507039799104566,215.022055814568,24.3890465352194,23.7914580645161,2.95766096256514,79.4670232418883,2.28045629419465,2.86968883590015,0.677204668370493,-25.0399831703521,-81.0177362322642,-5.62891368373525,103.335422728217,0,0,3,43,7,1,0,72279.983094524,1199.99870967742,963.359469096232,0.802800420806452,0.223200230767742,20.958,1,"1: Needles",1531927414.56774,395.009967741935,417.362322580645,22.9909548387097,21.0532677419355,600.012387096774,99.0893258064516,0.0999558129032258,23.2905322580645,23.8978903225807,23.6850258064516,13999.5161290323,1047.00838709677,27.8746774193548,1199.99870967742,0.329999741935484,0.330002451612903,0.330000935483871,0.00999747677419355,23,17743.1064516129,1531926694.2,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.1737977901069,-0.390961406276136,0.895310396128572,1,-22.9497476190476,25.6118616819405,3.77272749386575,0,1,2,"1/2",1.86096,1.85791,1.86074,1.85352,1.85207,1.85293,1.85656,1.86282,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.405,297.363,22.9996,23.6795,30.0002,23.6975,23.7028,18.9796,5.37157,100,23,375,21,100.901,104.533
"10",10,1531927426.8,18,"20180718 11:23:46","11:23:46",NA,1531927416.50323,0.000567509376646121,5.64167943401542,394.609258064516,279.536812957974,27.7271480873531,39.141139298316,0.0820529858319032,3,0.0809460088786254,0.0506895594065292,215.02199811212,24.3891783500644,23.7908677419355,2.95755591834285,79.4683808956029,2.28050325162436,2.86969889901274,0.677052666718486,-25.0271635100939,-80.9128686967844,-5.62161259882322,103.460353306418,0,0,3,43,7,1,0,72282.5898143764,1199.99870967742,963.359418289834,0.802800378467741,0.223200182641935,20.958,1,"1: Needles",1531927416.50323,394.609258064516,415.097451612903,22.9913516129032,21.0546580645161,600.012612903226,99.089664516129,0.099947735483871,23.2905903225806,23.8974483870968,23.6842870967742,14000.0387096774,1047.00806451613,27.8664806451613,1199.99870967742,0.330000193548387,0.330002258064516,0.33000064516129,0.00999743193548387,23,17743.1064516129,1531926694.2,"11:11:34",39,-0.509,0.041,420,21,0.31,0.15,14.0147238382313,-0.846871373004274,1.51702116239625,0,-21.2802385714286,45.886010456995,5.91743329599782,0,0,2,"0/2",1.86096,1.85791,1.86073,1.85351,1.85208,1.85295,1.8566,1.86282,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.509,0.041,3,562.488,297.353,22.9997,23.6805,30.0002,23.6985,23.7031,18.7739,5.37157,100,23,375,21,100.901,104.533
