"","obs","time","elapsed","date","hhmmss","Tree","TIME","E","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","blfa_1","blfa_2","blfa_3","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","TIME","CO2_s","CO2_r","H2O_s","H2O_r","Flow","Pa","¦¤Pcham","Tair","Tleaf","Tleaf2","Fan_speed","Qamb_in","Qamb_out","Q","f_red","f_green","f_blue","f_white","Tled","Pc","time","hhmmss","count","co2_adj","h2o_adj","co2_at","h2o_at","co2_cv","h2o_cv","A:MN","A:SLP","A:SD","A:OK","¦¤CO2:MN","¦¤CO2:SLP","¦¤CO2:SD","¦¤CO2:OK","Stable","Total","State","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
"1",1,1531935549.6,0,"20180718 13:39:09","13:39:09",NA,1531935541.86333,-7.78946914655964e-05,-0.0155452171672994,420.079,410.069365895065,40.6507195010737,41.6429877906592,-0.00764464477058702,3,-0.00765439729529627,-0.00478312114922629,215.02166256479,24.9316270887072,24.1782516666666,3.02719388639862,69.6274126140109,2.04419200526704,2.93590114657757,0.983001881131577,3.4351558936328,-82.3999094799965,-5.74712694808698,130.309782030339,0,0,3,0,0,1,0,72156.6890329436,1199.99466666667,963.357409692486,0.802801409416667,0.223200299703333,10.479,1,"1: Needles",1531935541.86333,420.079,419.9947,20.62105,20.75429,599.989766666667,99.03154,0.0997848,23.66878,24.21879,24.1377133333333,14001.9333333333,1048.42266666667,20.2228366666667,1199.99466666667,0.330008266666667,0.330006866666667,0.3300078,0.00997716366666667,25,17743.03,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-7.91799809673782e-05,-0.230133958008737,0.0334916380199265,1,0.0523252761904762,0.424940047861234,0.0593653654340676,1,2,2,"2/2",1.86098,1.85791,1.8608,1.85356,1.85211,1.85291,1.85659,1.86285,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,625.525,296.938,23.0011,25.1128,30.0003,25.1749,25.1872,20.4158,0,100,23,420,21,100.694,104.306
"2",2,1531935551.6,2,"20180718 13:39:11","13:39:11",NA,1531935543.42,-7.33993659855373e-05,-0.0223968508761031,420.0831,408.36923193116,40.4821629193263,41.643373604411,-0.00720465699236205,3,-0.00721331857337836,-0.00450754511851226,215.021632901336,24.9335683522205,24.1815283333333,3.02778897679138,69.6380206303554,2.04488392045939,2.93644750661971,0.982905056331992,3.23691203996219,-82.430100199995,-5.74941757158686,130.079027169717,0,0,3,0,0,1,0,72157.964955825,1199.994,963.356950091166,0.802801472416667,0.223200375396667,10.479,1,"1: Needles",1531935543.42,420.0831,419.990133333333,20.62804,20.7535866666667,600.004666666667,99.0313566666667,0.0999190366666667,23.67187,24.2221033333333,24.1409533333333,14002.41,1048.43866666667,20.22251,1199.994,0.3300076,0.330007266666667,0.330008266666667,0.00997707966666666,25,17743.0233333333,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-0.0013366546991778,-0.232930639799795,0.033605204059175,1,0.0577421476190476,0.37542779103633,0.0566582728461114,1,2,2,"2/2",1.86099,1.85791,1.8608,1.85359,1.85211,1.85292,1.8566,1.86285,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,625.731,297.099,23.0011,25.1135,30.0001,25.1756,25.1872,20.4167,0,100,23,420,21,100.693,104.306
"3",3,1531935553.6,4,"20180718 13:39:13","13:39:13",NA,1531935545.02,-6.91961682479745e-05,-0.0280572388356864,420.0882,406.753545064426,40.3219998081147,41.6438812281483,-0.00679246096952576,3,-0.00680015927226633,-0.00424940722968998,215.02175617059,24.9352818949024,24.18513,3.02844320990917,69.6483913159063,2.04553167903038,2.9369403088614,0.982911530878797,3.05155101973568,-82.5619150399949,-5.75879738465965,129.752594765671,0,0,3,0,0,1,0,72160.7342960716,1199.99433333333,963.357296191283,0.802801537833333,0.223200423166667,10.479,1,"1: Needles",1531935545.02,420.0882,419.988433333333,20.6345733333333,20.7529266666667,600.0206,99.0312966666667,0.0999839266666667,23.6746566666667,24.2255666666667,24.1446933333333,14003.18,1048.45266666667,20.22251,1199.99433333333,0.3300073,0.330007533333333,0.3300085,0.00997698333333333,25,17743.0233333333,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-0.0100836802923013,-0.230095066476636,0.0335112407317815,1,0.0737021095238095,0.28864971909997,0.0503335033406596,1,2,2,"2/2",1.86098,1.85791,1.8608,1.85361,1.85211,1.8529,1.8566,1.86284,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,625.903,297.102,23.0011,25.1138,30.0002,25.1767,25.1878,20.4175,0,100,23,420,21,100.694,104.306
"4",4,1531935555.6,6,"20180718 13:39:15","13:39:15",NA,1531935546.68333,-6.52054723191759e-05,-0.0329018044879418,420.093966666667,405.159141894822,40.1639353843678,41.6444433504671,-0.00640143326945446,3,-0.0064082702885586,-0.00400455410524797,215.021766815622,24.9367092452493,24.1881816666667,3.02899763371496,69.6587349285878,2.04613690268009,2.93737304413831,0.982860731034862,2.87556132927566,-82.6597653200029,-5.76578272168387,129.471780103211,0,0,3,0,0,1,0,72177.5853738874,1199.994,963.357066890582,0.80280156975,0.223200487343333,10.479,1,"1: Needles",1531935546.68333,420.093966666667,419.988666666667,20.6406833333333,20.75221,600.022066666667,99.0312666666667,0.09999123,23.6771033333333,24.22825,24.1481133333333,14007.0333333333,1048.45766666667,20.22251,1199.994,0.3300066,0.3300077,0.330009166666667,0.009976881,25,17743.01,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-0.0180899560862178,-0.204590036682784,0.0310354048783621,1,0.0862448095238095,0.241521681307381,0.0454273609797046,1,2,2,"2/2",1.86098,1.85791,1.86081,1.85361,1.85211,1.85289,1.8566,1.86285,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,625.888,297.039,23.0011,25.1149,30.0003,25.177,25.1889,20.1853,0,100,23,408.33,21,100.694,104.306
"5",5,1531935557.6,8,"20180718 13:39:17","13:39:17",NA,1531935548.39,-6.13308940918108e-05,-0.0429836413972991,420.102333333333,402.000676258818,39.8508311396847,41.6452711046576,-0.00602244870887576,3,-0.00602849976397909,-0.00376726823536156,215.022024681496,24.9380011011397,24.1904533333334,3.02941040549799,69.6690329525333,2.04672037455467,2.93777635172449,0.98269003094332,2.70469242944886,-82.6584175200087,-5.76582128210109,129.302478308836,0,0,3,0,0,1,0,72182.525184245,1199.995,963.357869992149,0.802801569999999,0.223200568946667,10.479,1,"1: Needles",1531935548.39,420.102333333333,419.982266666667,20.64657,20.75147,600.016366666667,99.03128,0.0999739833333333,23.6793833333333,24.2307066666667,24.1502,14008.2433333333,1048.461,20.22251,1199.995,0.330005533333333,0.3300079,0.330010133333333,0.009976768,25,17743.02,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-0.0349096679667099,-0.17138035606968,0.0262103171321916,1,0.110601471428571,0.220642895489277,0.042654600228526,1,2,2,"2/2",1.86099,1.85791,1.8608,1.85361,1.85211,1.8529,1.8566,1.86285,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,626.068,297.098,23.0011,25.1156,30.0002,25.177,25.1893,19.8704,0,100,23,398.33,21,100.694,104.305
"6",6,1531935560.2,10.6000001430511,"20180718 13:39:20","13:39:20",NA,1531935550.72333,-5.64490506036395e-05,-0.202991912556424,420.0931,355.260741671041,35.2173979730727,41.6443027699951,-0.00554532837970896,3,-0.00555045823196798,-0.00346857514479904,215.022251850749,24.9397021161827,24.1926966666667,3.02981807724992,69.6817407639022,2.04745695638948,2.93829765723955,0.982361120860448,2.4894031316205,-82.5446632000051,-5.758037321409,129.208954460956,0,0,3,0,0,1,0,72171.2444149278,1199.996,963.358541894157,0.802801460916667,0.223200649083333,10.479,1,"1: Needles",1531935550.72333,420.0931,419.697166666667,20.6540266666667,20.7505766666667,600.012566666667,99.0311733333333,0.0999544333333333,23.68233,24.2335366666667,24.1518566666667,14005.93,1048.47233333333,20.2197333333333,1199.996,0.330004166666667,0.330008566666667,0.3300109,0.00997664166666667,25,17743.02,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-0.127873235135104,-1.52103097700835,0.280857602727423,1,0.332766373809524,3.53527068565641,0.666534712532697,0,1,2,"1/2",1.86098,1.85791,1.8608,1.85358,1.85211,1.8529,1.8566,1.86284,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,626.345,297.121,23.0009,25.1167,30.0002,25.177,25.1893,19.5098,0,100,23,388.33,21,100.693,104.305
"7",7,1531935562.1,12.5,"20180718 13:39:22","13:39:22",NA,1531935552.52333,-5.30484973417129e-05,-0.624700986636431,420.030966666667,223.181838186004,22.1242601284732,41.6381298947926,-0.00521239267706334,3,-0.00521692478715624,-0.0032601705070981,215.022237531189,24.9409100827631,24.1946516666667,3.03017339048046,69.6906142166768,2.04797375551095,2.93866509648422,0.982199634969515,2.33943873276954,-82.5249853200002,-5.75678189917647,129.079909044782,0,0,3,0,0,1,0,72164.1921509516,1199.996,963.358459294431,0.802801392083333,0.223200653356667,10.479,1,"1: Needles",1531935552.52333,420.030966666667,418.901033333333,20.6592466666667,20.74998,600.011933333333,99.0311466666667,0.0999488933333333,23.6844066666667,24.2349666666667,24.1543366666667,14004.49,1048.482,20.21432,1199.996,0.330004,0.330009133333333,0.3300106,0.00997655566666667,25,17743.02,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-0.243149124503286,-3.2954913391071,0.568724463021073,1,0.579974826190476,7.24682282542794,1.25905313254355,0,1,2,"1/2",1.86097,1.85791,1.8608,1.85354,1.85211,1.8529,1.8566,1.86283,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,626.265,297.064,23.0008,25.1177,30.0003,25.177,25.1893,19.2946,0,100,23,388.33,21,100.693,104.305
"8",8,1531935564.2,14.6000001430511,"20180718 13:39:24","13:39:24",NA,1531935554.37333,-4.97955831562123e-05,-1.37761890903599,419.848833333333,-33.4556154699533,-3.31649666846884,41.6201357365874,-0.00489303142426323,3,-0.00489702497377691,-0.00306028156243299,215.022314227956,24.9419130829203,24.1973266666667,3.0306596197808,69.6995847525938,2.0484634874904,2.93898951444495,0.982196132290395,2.19598521718896,-82.6611131199973,-5.76640924498605,128.790777080161,0,0,3,0,0,1,0,72161.4148846898,1199.99666666667,963.358966195441,0.8028013685,0.223200615526667,10.479,1,"1: Needles",1531935554.37333,419.848833333333,417.406333333333,20.6641566666667,20.7493266666667,600.0061,99.0313066666667,0.09993399,23.68624,24.2361933333333,24.15846,14003.95,1048.49033333333,20.20798,1199.99666666667,0.3300045,0.3300093,0.330010033333333,0.009976466,25,17743.0266666667,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-0.886144042093785,-12.5173574581812,1.79449868371666,0,1.79454708809524,23.9749293873252,3.44779139852643,0,0,2,"0/2",1.86097,1.85791,1.8608,1.85355,1.85211,1.85289,1.85659,1.86282,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,625.992,297.077,23.0008,25.1178,30.0003,25.1775,25.1896,18.9959,0,100,23,378.33,21,100.693,104.304
"9",9,1531935566.2,16.6000001430511,"20180718 13:39:26","13:39:26",NA,1531935556.27667,-4.66271617386515e-05,-2.41885942640843,419.463733333333,-424.601774997167,-42.0913738427642,41.5820325134833,-0.00458193455429623,3,-0.0045854362490956,-0.00286558284444377,215.022368461609,24.9427409904896,24.1998633333333,3.03112076752222,69.7085202300402,2.048928006239,2.93927915766606,0.982192761283223,2.05625783267453,-82.8066755199889,-5.77668542009603,128.495265354199,0,0,3,0,0,1,0,72154.3485405588,1199.99733333333,963.359564796206,0.802801421333333,0.223200533133333,10.479,1,"1: Needles",1531935556.27667,419.463733333333,415.2051,20.6688066666667,20.7485566666667,600.008933333333,99.0314666666667,0.0999461566666667,23.6878766666667,24.2369833333333,24.1627433333333,14002.4533333333,1048.50266666667,20.20243,1199.99733333333,0.330005733333333,0.330008733333333,0.330009433333333,0.00997638,25,17743.0466666667,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-2.03937804943985,-26.8613712216138,3.30875111596757,0,3.81316647380952,47.7793115841276,5.95851090810725,0,0,2,"0/2",1.86097,1.85791,1.8608,1.85355,1.85211,1.85288,1.85658,1.86282,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,626.383,297.002,23.0007,25.1188,30.0003,25.1785,25.1907,18.7183,0,100,23,368.33,21,100.694,104.304
"10",10,1531935568.1,18.5,"20180718 13:39:28","13:39:28",NA,1531935558.23,-4.34721756730404e-05,-3.70524430678125,418.809466666667,-963.385936035506,-95.5019982932574,41.5172564542461,-0.00427280279320181,3,-0.00427584776891687,-0.00267213111661983,215.022377867853,24.9434987928638,24.2014366666666,3.03140681902029,69.7170702084506,2.04937221317639,2.93955584629255,0.982034605843901,1.91712294718108,-82.8082928799968,-5.77688978142528,128.354318153612,0,0,3,0,0,1,0,72155.8947549099,1199.99766666667,963.359931496494,0.802801503916667,0.223200457936667,10.479,1,"1: Needles",1531935558.23,418.809466666667,412.306566666667,20.6732466666667,20.7476,600.009866666667,99.0316633333333,0.0999460466666666,23.68944,24.23747,24.1654033333333,14002.8466666667,1048.51133333333,20.1979466666667,1199.99766666667,0.330006933333333,0.330007966666667,0.330009066666667,0.009976287,25,17743.0466666667,1531935528.6,"13:38:48",80,-0.052,0.041,420,21,0.3,0.23,-2.62023567338767,-33.181331188723,3.89604979412977,0,4.80961754047619,57.986680009984,6.92256906559,0,0,2,"0/2",1.86097,1.85791,1.8608,1.85355,1.85211,1.85289,1.85657,1.86283,"5","0","0","0","11111111","oooooooo","off","off","off","off",0,100,100,-0.052,0.041,3,626.409,297.063,23.0007,25.1199,30.0001,25.1791,25.1914,18.5108,0,100,23,368.33,21,100.694,104.304
