Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,15:34:12,409.0000078,0,8.811151459,0.099947562,247.1718198,1.909786472,1.902814453,26.96549797,6,1.420000017,1,2.840000033,26.97184753,26.96549797,26.9980278,414.1989136,402.7082825,14.63875389,16.89068031,40.48331833,46.71099854,500.2460632,1200.02832,7.655509949,98.81774139,2.044131994,-0.304002196,0.053124256,0.002318394,0.036313917,0.001994614,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833743439,0.001909786,300.115498,300.1218475,192.004527,1.222821345,3.571913332,36.14647817,19.25579786,26.96867275,3.572579587,0.096549707,1.669098879,1.903480708,0.060639913,24.42496097,0.613773867,47.13763155,398.5198831,0.010421985
2,15:36:34,551.0000078,0,8.560603991,0.100311193,249.3167778,1.884854172,1.87188054,26.7600956,6,1.420000017,1,2.840000033,26.97864342,26.7600956,27.01598358,411.2186584,400.0476074,14.54766941,16.77026749,40.21433258,46.35829544,500.2914429,999.3768311,7.603530884,98.81519318,2.014664173,-0.301164836,0.082101695,0.008106041,0.040903483,0.001914298,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833819071,0.001884854,299.9100956,300.1286434,159.9002894,0.899546388,3.529037761,35.71351376,18.94324628,26.86936951,3.551791258,0.096888992,1.657157221,1.894634037,0.060854058,24.63628556,0.62321777,47.38667126,395.9783063,0.010244463
3,15:38:55,692.0000078,0,8.546577402,0.100233019,249.3157069,1.849020841,1.838569197,26.53205109,6,1.420000017,1,2.840000033,26.97445488,26.53205109,27.02459526,410.8701172,399.7338562,14.4475975,16.62824059,39.95411301,45.98457336,500.2950439,800.8466797,7.340355873,98.83148193,2.048819542,-0.299217999,0.086257435,0.00259408,0.09886016,0.002022679,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833825073,0.001849021,299.6820511,300.1244549,128.1354659,0.586888834,3.481962856,35.23131282,18.60307223,26.75325298,3.527617206,0.096816059,1.643393659,1.884223547,0.060808024,24.64024078,0.623704255,47.63969493,395.6712226,0.010290269
4,15:41:56,873.0000078,0,8.071139838,0.09991924,257.0907104,1.807773873,1.803396281,26.27399445,6,1.420000017,1,2.840000033,26.94830322,26.27399445,27.01373863,410.5704346,400.0243225,14.32199383,16.45420456,39.66193008,45.56666565,500.3337708,600.9608154,7.608669281,98.81719971,1.966515183,-0.290136725,0.08220093,0.004664913,0.047878809,0.006107943,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833889618,0.001807774,299.4239944,300.0983032,96.15372832,0.275270511,3.429354699,34.70402632,18.24982176,26.61114883,3.498228404,0.096523278,1.625958418,1.872269986,0.060623232,25.40498407,0.642687697,47.86671164,396.1876892,0.009751412
5,15:44:23,1020.000008,0,7.180971957,0.09744883,268.7879618,1.736408191,1.775270411,26.05446625,6,1.420000017,1,2.840000033,26.91921234,26.05446625,26.99768829,409.4130859,399.9686584,14.2422533,16.29066467,39.5105629,45.19322205,500.3255615,399.8192444,7.386286736,98.82214355,1.91729486,-0.288810551,0.12853308,0.00441468,0.114456117,0.002210841,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833875936,0.001736408,299.2044662,300.0692123,63.97107767,-0.029283604,3.385148814,34.25496242,17.96429775,26.48683929,3.472695261,0.094216,1.609878403,1.862816858,0.059167159,26.56220254,0.67202256,47.98223359,396.5551683,0.008688806
6,15:46:44,1161.000008,0,3.330857457,0.092453659,330.1495123,1.623926641,1.747642853,25.81167412,6,1.420000017,1,2.840000033,26.88122368,25.81167412,26.96987343,404.7189331,399.9451294,14.16487408,16.08120346,39.38415527,44.71233368,500.272644,149.8330383,7.357228756,98.82318878,1.901817918,-0.278701305,0.048339985,0.006921138,0.039808873,0.004965896,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83378774,0.001623927,298.9616741,300.0312237,23.9732856,-0.400369735,3.336838658,33.76574566,17.6845422,26.3464489,3.444054913,0.089538803,1.589195805,1.854859108,0.056216532,32.62642758,0.825487018,47.98052579,398.3617993,0.004011838
7,15:49:06,1303.000008,0,2.291098155,0.083924307,344.3607516,1.484586281,1.755532841,25.72088051,6,1.420000017,1,2.840000033,26.83382607,25.72088051,26.9309845,403.4048767,399.9449768,14.06609058,15.81844044,39.22281265,44.10918045,500.2776489,101.3292465,7.517651081,98.83371735,1.724391818,-0.26793766,0.014412585,0.009292629,0.01868853,0.008461774,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833796082,0.001484586,298.8708805,299.9838261,16.21267908,-0.413161594,3.318928112,33.58092968,17.76248924,26.27735329,3.430034958,0.081515459,1.563395271,1.866639687,0.051158241,34.03445319,0.861020319,47.32252343,398.8558985,0.002718289
8,15:51:28,1445.000008,0,0.841288453,0.072692691,369.7363217,1.305891375,1.776357692,25.68958282,6,1.420000017,1,2.840000033,26.79745293,25.68958282,26.89690018,401.5989075,399.9635925,14.0030117,15.54477692,39.132267,43.4408226,500.306366,59.5311203,7.694468498,98.83808136,1.764911532,-0.267030329,0.034515977,0.003433757,0.060520437,0.00499644,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833843943,0.001305891,298.8395828,299.9474529,9.524979035,-0.400349285,3.312773618,33.51717852,17.97240161,26.24351788,3.423187727,0.070878484,1.536415926,1.886771801,0.044458552,36.54402865,0.924424944,46.40196672,399.5636843,0.000977002
9,15:53:51,1588.000008,0,-1.032218678,0.062279685,414.7136541,1.131575911,1.790341938,25.62275505,6,1.420000017,1,2.840000033,26.7700882,25.62275505,26.8762207,399.0630188,399.7584229,13.93607807,15.27240467,39.00352859,42.74356842,500.3091431,21.1607151,7.644618034,98.82685852,1.623799801,-0.25067997,0.054817531,0.007537677,0.043904949,0.006967031,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833848572,0.001131576,298.7727551,299.9200882,3.385714341,-0.377690303,3.299665714,33.38834972,18.11594505,26.19642162,3.413676788,0.060943232,1.509323776,1.904353012,0.038207379,40.98484762,1.037410672,45.58203016,400.2490902,-0.001175534
10,15:56:13,1730.000008,0,-1.928595718,0.053776268,445.5882686,1.002187965,1.831138524,25.7239666,6,1.420000017,1,2.840000033,26.78636551,25.7239666,26.87751389,398.2573242,400.0892334,13.87572956,15.05943775,38.80059052,42.11058426,500.3406677,0.080619924,7.783838272,98.83483124,1.726216793,-0.240624666,0.029610042,0.005010861,0.014672265,0.002650102,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833901113,0.001002188,298.8739666,299.9363655,0.012899188,-0.36221125,3.319535513,33.58669683,18.52725908,26.25516605,3.425543606,0.052776921,1.488396989,1.937146617,0.033073928,44.03964133,1.113722218,44.51300153,401.0059954,-0.002140806
