Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
14,12:43:14,4296.000003,0,14.14037053,0.254678699,280.0505396,2.690251945,1.115584033,29.73233032,6,1.420000017,1,2.840000033,29.18589592,29.73233032,29.17261696,399.9506226,381.7294922,27.4948864,30.62781143,68.00994873,75.75938416,499.4416504,1498.867676,0.563003898,100.5556564,2.261860132,-0.347968906,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832402751,0.002690252,302.8823303,302.3358959,239.8188228,1.349479489,4.195383716,41.72200615,11.09419472,29.45911312,4.129864082,0.233719742,3.079799684,1.050064399,0.147823592,28.16066584,0.73363611,74.68166464,375.0078373,0.028160116
15,12:44:27,4369.000003,0,13.42801348,0.268122977,290.8948631,2.427928224,0.961488781,28.95474815,6,1.420000017,1,2.840000033,29.15159416,28.95474815,29.15492249,400.0261841,382.7776794,27.50222015,30.33058929,68.15979004,75.16944122,499.4300842,1000.515076,0.377213478,100.5507965,2.212208033,-0.34318909,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832383474,0.002427928,302.1047482,302.3015942,160.0824085,0.652200267,4.011253693,39.89280873,9.562219435,29.05317116,4.034163473,0.244993284,3.049764912,0.984398561,0.155043438,29.24971019,0.759957748,77.30097533,376.3946449,0.027577399
16,12:45:36,4438.000003,0,12.87406907,0.279260631,298.6240207,2.300274214,0.878278485,28.51235962,6,1.420000017,1,2.840000033,29.08727837,28.51235962,29.10776901,399.9936218,383.4684448,27.46804047,30.14803696,68.32839203,74.99503326,499.4615784,800.1942139,0.444054514,100.5503693,2.229114771,-0.333566517,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832435964,0.002300274,301.6623596,302.2372784,128.0310714,0.393897662,3.909674734,38.88274864,8.734711683,28.79981899,3.975420885,0.254259033,3.031396249,0.944024636,0.160983695,30.02675556,0.778744704,78.81575751,377.348729,0.026889703
17,12:46:46,4508.000003,0,12.19433638,0.285671033,305.6258804,2.180298512,0.815833586,28.16783142,6,1.420000017,1,2.840000033,29.04745674,28.16783142,29.08218002,400.0412292,384.3828735,27.45742798,29.99845886,68.45806122,74.79347229,499.3783264,600.1105347,0.517675698,100.5482864,2.114612818,-0.33595261,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832297211,0.002180299,301.3178314,302.1974567,96.0176834,0.121280519,3.83212722,38.11230759,8.113848728,28.60764408,3.931361805,0.259562099,3.016293634,0.91506817,0.164386023,30.73015857,0.795107955,79.97444747,378.58627,0.025759923
18,12:47:59,4581.000003,0,10.85277029,0.295681852,317.7620749,2.107733226,0.764659444,27.90298653,6,1.420000017,1,2.840000033,29.04385567,27.90298653,29.0826149,400.1117859,386.0958557,27.46800232,29.92440987,68.49694061,74.6224823,499.4270325,400.3684998,0.483696073,100.5457153,2.115986109,-0.330386966,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832378387,0.002107733,301.0529865,302.1938557,64.05895853,-0.181738127,3.77343064,37.52950216,7.605092289,28.4734211,3.900842271,0.267800274,3.008771196,0.892071075,0.169675123,31.94961512,0.823013431,81.0059241,380.9369685,0.023078324
19,12:49:15,4657.000003,0,7.7510569,0.306081779,341.2117324,2.034895521,0.71572051,27.65330696,6,1.420000017,1,2.840000033,29.05776787,27.65330696,29.09871292,399.980072,389.7145996,27.49683952,29.86868286,68.5120163,74.42177582,499.3877563,200.9273376,0.211824581,100.543251,2.124805689,-0.327295154,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832312927,0.002034896,300.803307,302.2077679,32.1483733,-0.483996305,3.718814989,36.98721646,7.118533596,28.35553741,3.874208616,0.276303133,3.003094479,0.871114137,0.175138847,34.30653687,0.875542596,82.02565843,386.0301184,0.016469843
20,12:50:32,4734.000003,0,5.014701802,0.313440827,361.0405114,1.99572728,0.687171767,27.52236176,6,1.420000017,1,2.840000033,29.06468201,27.52236176,29.10643005,400.2306519,393.263092,27.54423904,29.87028122,68.60316467,74.39653015,499.4185486,100.1286926,0.355699033,100.5439682,2.037983179,-0.328985065,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832364248,0.001995727,300.6723618,302.214682,16.02059046,-0.635007562,3.690448372,36.70482117,6.834539948,28.29352188,3.860261123,0.282285921,3.003276605,0.856984517,0.178986097,36.3004457,0.918063553,82.65307435,390.879343,0.010603797
21,12:51:39,4801.000003,0,2.69819631,0.322832264,377.1061856,1.961496553,0.657819404,27.37496185,6,1.420000017,1,2.840000033,29.03813934,27.37496185,29.08848953,400.0777893,395.9035034,27.56024551,29.8462944,68.74985504,74.45246887,499.4520874,49.07585907,0.243555605,100.5459442,1.973499537,-0.330922931,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832420146,0.001961497,300.5249619,302.1881393,7.852137276,-0.697123386,3.658743256,36.38877017,6.542475769,28.2065506,3.840774794,0.289880573,3.000923852,0.839850942,0.183873267,37.9164975,0.952520456,83.30281574,394.6209101,0.005695779
22,12:52:40,4861.500003,0,1.633645284,0.328262377,384.3173209,1.932330894,0.638499366,27.2686615,6,1.420000017,1,2.840000033,28.99950027,27.2686615,29.05594635,399.9964905,397.1121521,27.56034088,29.81246185,68.90406799,74.53462982,499.4554138,30.19177246,0.42819345,100.5461044,1.957416773,-0.330093235,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83242569,0.001932331,300.4186615,302.1495003,4.830683486,-0.708468927,3.636026269,36.16277617,6.350314314,28.13408089,3.824603208,0.294251246,2.997526903,0.827076305,0.18668753,38.64160948,0.967780308,83.7220907,396.3355954,0.003450919
23,12:53:48,4930.000003,0,1.157669776,0.331212334,387.7078846,1.877436616,0.615512693,27.12310028,6,1.420000017,1,2.840000033,28.92188644,27.12310028,28.98723793,400.0644226,397.7763672,27.5460186,29.73452759,69.17638397,74.6723938,499.4117737,20.23037529,0.278666794,100.543251,1.962482691,-0.332979053,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832352956,0.001877437,300.2731003,302.0718864,3.236859974,-0.689660567,3.605118765,35.85639739,6.121869806,28.02249336,3.799818646,0.296619378,2.989606072,0.810212574,0.188212892,38.98141117,0.974688082,84.19144662,397.2260664,0.002453663
24,12:54:59,5000.500003,0,0.452288137,0.338282028,392.5401082,1.857301207,0.597587785,27.01115608,6,1.420000017,1,2.840000033,28.85660172,27.01115608,28.92651558,400.1604919,398.727478,27.51374435,29.67877579,69.35513306,74.8126297,499.4418335,9.062187195,0.273003548,100.5404587,1.979908228,-0.32819733,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832403056,0.001857301,300.1611561,302.0066017,1.449949919,-0.694124372,3.581505516,35.6225301,5.943754317,27.9338789,3.780236538,0.302276813,2.983917731,0.796318807,0.191858462,39.46616253,0.984482209,84.58730256,398.5124819,0.000960016
25,12:57:26,5147.500003,0,0.161555542,0.344819221,394.5038907,1.874652784,0.592966565,26.98212624,6,1.420000017,1,2.840000033,28.7861824,26.98212624,28.85859108,400.2351685,399.1421204,27.47909355,29.66449928,69.54995728,75.08124542,499.4154053,5.674682617,0.361356527,100.5389481,1.937397242,-0.32693848,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832359009,0.001874653,300.1321262,301.9361824,0.907949198,-0.715472584,3.575404118,35.56237843,5.897879148,27.88415432,3.769286965,0.30748577,2.982437553,0.786849412,0.195216915,39.66300617,0.988379503,84.7124259,399.0653246,0.000342945
26,12:58:25,5206.500003,0,-0.111089226,0.346527332,396.3099018,1.902221124,0.598970317,27.03352547,6,1.420000017,1,2.840000033,28.80738449,27.03352547,28.86980629,400.383667,399.6038208,27.49576378,29.71342278,69.50405121,75.10987091,499.3643188,0.093361579,0.386260182,100.5351334,1.908405542,-0.33005318,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832273865,0.001902221,300.1835255,301.9573845,0.014937852,-0.744440208,3.586213238,35.67124366,5.957820882,27.92045498,3.7772778,0.308843303,2.987242921,0.790034878,0.196092474,39.84306883,0.991757038,84.61118233,399.6566273,-0.000235187
