Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,14:12:43,346.9999997,0,10.51921603,0.13693357,263.0905062,1.963046355,1.445781558,25.89410782,6,1.420000017,1,2.840000033,25.86571693,25.89410782,25.86696815,412.537384,398.9832153,16.98853111,19.2972374,50.16199875,56.97891235,500.3230591,1198.761353,7.497696877,98.84272766,2.011996031,-0.382450134,0.161858857,0.003925452,0.18647857,0.003040939,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833871765,0.001963046,299.0441078,299.0157169,191.8018121,1.191025291,3.353173138,33.92432825,14.62709085,25.87991238,3.350355302,0.130634873,1.907391581,1.442963721,0.082190257,26.00458325,0.659402441,57.74195824,393.9828838,0.015416917
2,14:13:04,368.9999997,0,10.36112243,0.135709154,264.1134917,1.946021518,1.445558946,25.89541626,6,1.420000017,1,2.840000033,25.86853981,25.89541626,25.86977386,412.545929,399.1889954,17.01363373,19.30230904,50.22722626,56.98379517,500.3222961,1198.748291,7.486364365,98.8417511,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833870494,0.001946022,299.0454163,299.0185398,191.7997223,1.199721658,3.353432972,33.92729221,14.62498317,25.88197803,3.350765212,0.129520049,1.907874025,1.442891187,0.081484226,26.10544001,0.661625182,57.73418024,394.263814,0.015172351
3,14:13:25,373.0000001,0,10.20716569,0.134211436,264.8348443,1.925734222,1.44571695,25.89660072,6,1.420000017,1,2.840000033,25.8718605,25.89660072,25.87316895,412.5393066,399.3761902,17.03832626,19.3031559,50.29005814,56.97489166,500.3188171,1198.737305,7.489428043,98.84141541,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833864695,0.001925734,299.0466007,299.0218605,191.7979645,1.210136773,3.353668201,33.9297873,14.6266314,25.88423061,3.351212265,0.128155138,1.907951251,1.443261015,0.080619921,26.17665086,0.663121265,57.71116821,394.5241925,0.014931086
4,14:13:41,389.5,0,9.54741598,0.12819466,269.6336616,1.854271998,1.45424805,25.94020271,6,1.420000017,1,2.840000033,25.9184494,25.94020271,25.92103958,413.809021,401.4666138,17.12558746,19.3063755,50.40359116,56.82203293,500.3162231,1199.245239,7.44920969,98.83208466,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833860372,0.001854272,299.0902027,299.0684494,191.879234,1.247157616,3.362337388,34.02070694,14.71433143,25.92932606,3.360173001,0.122658005,1.908089338,1.452083663,0.077140177,26.64845687,0.67162163,57.4832392,396.9282295,0.01382659
5,14:16:16,539.9999998,0,10.28896848,0.137660182,267.9198388,2.009216683,1.471787716,26.01813126,6,1.420000017,1,2.840000033,26.01478195,26.01813126,26.02164078,413.9044495,400.5999146,16.92566872,19.28878403,49.53554153,56.44849777,500.3043213,1200.7854,7.497018337,98.8187027,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833840535,0.002009217,299.1681313,299.164782,192.1256598,1.174669198,3.37788033,34.18260145,14.89381743,26.0164566,3.37754566,0.131296015,1.906092614,1.471453046,0.082609005,26.4754909,0.668796545,57.30143059,395.7090317,0.014899145
6,14:16:32,555.4999995,0,10.17860345,0.138199473,269.5898313,2.016099963,1.471138199,26.01656532,6,1.420000017,1,2.840000033,26.02211571,26.01656532,26.02939224,413.6638794,400.4884949,16.92345047,19.29467773,49.49180603,56.4259491,500.2978821,1200.878662,7.56904459,98.80596161,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833829803,0.0020161,299.1665653,299.1721157,192.1405816,1.172560858,3.377567386,34.18384206,14.88916433,26.01934052,3.378122012,0.131786506,1.906429187,1.471692825,0.082919685,26.63708252,0.673152499,57.32389226,395.6500743,0.014747303
7,14:16:47,570.9999991,0,10.34818396,0.136633224,265.9209354,2.005226551,1.479147697,26.04880333,6,1.420000017,1,2.840000033,26.02762413,26.04880333,26.03600502,413.6088562,400.2353516,16.92046165,19.27903938,49.466362,56.3623848,500.2763367,1200.913574,7.628660202,98.80509949,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833793894,0.002005227,299.1988033,299.1776241,192.1461676,1.174516258,3.384015101,34.24939723,14.97035785,26.03821373,3.381895959,0.130361495,1.904867404,1.477028555,0.082017116,26.27434448,0.664411413,57.14966743,395.3163205,0.014960052
8,14:17:03,586.4999988,0,10.08890785,0.137439669,269.6484541,2.010611068,1.47498713,26.03088951,6,1.420000017,1,2.840000033,26.03486633,26.03088951,26.04355049,413.1924744,400.1283875,16.91823769,19.28299713,49.44369888,56.35572052,500.3063965,1200.943726,7.426631927,98.81471252,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833843994,0.002010611,299.1808895,299.1848663,192.1509918,1.175198659,3.380430949,34.20979389,14.92679676,26.03287792,3.380828621,0.131095405,1.905443818,1.475384803,0.082481941,26.64523448,0.673904833,57.23726133,395.3326038,0.014606978
9,14:17:18,601.9999984,0,10.38297033,0.136737589,265.2994199,2.010783901,1.482471398,26.06479454,6,1.420000017,1,2.840000033,26.04052734,26.06479454,26.05021667,413.3674927,399.9506531,16.90859413,19.27365685,49.40449905,56.31451416,500.2900085,1201.062256,7.545866489,98.82639313,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833816681,0.002010784,299.2147945,299.1905273,192.1699566,1.171574766,3.387217386,34.27442082,15.00076398,26.05266094,3.384787357,0.130456495,1.904745988,1.480041368,0.082077283,26.21858477,0.663330383,57.09505432,395.0150863,0.015007433
10,14:17:34,617.4999981,0,10.31466006,0.137385795,266.8308331,2.015377099,1.479268765,26.04774857,6,1.420000017,1,2.840000033,26.04615402,26.04774857,26.05588913,413.4197083,400.0822754,16.90014458,19.27061653,49.36680984,56.28896713,500.2901306,1200.879639,7.53823328,98.83104706,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833816884,0.002015377,299.1977486,299.196154,192.1407379,1.171940596,3.383803975,34.238269,14.96765247,26.04695129,3.383644397,0.131046389,1.904535209,1.479109187,0.082450896,26.37117063,0.666939901,57.15474919,395.17918,0.014918089
11,14:17:49,632.9999977,0,10.24913665,0.137914521,268.1859262,2.019050137,1.476559148,26.03297234,6,1.420000017,1,2.840000033,26.05263329,26.03297234,26.06193733,413.4487,400.1876831,16.89343262,19.26825714,49.32673264,56.26106262,500.2845154,1200.765869,7.519948959,98.83033752,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833807526,0.00201905,299.1829723,299.2026333,192.1225348,1.172702659,3.380847505,34.20860021,14.94034307,26.04280281,3.382814163,0.131527362,1.904288357,1.478525806,0.082755539,26.5049056,0.670150376,57.20413554,395.3157344,0.014831006
12,14:18:05,648.4999974,0,10.26394176,0.137517526,267.4686785,2.01516382,1.477849683,26.03490067,6,1.420000017,1,2.840000033,26.05832481,26.03490067,26.068367,413.2652588,399.9887695,16.88790894,19.25819778,49.29695892,56.21569061,500.2821655,1200.776611,7.61593771,98.8349762,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833803609,0.002015164,299.1849007,299.2083248,192.1242535,1.175157792,3.381233202,34.21089712,14.95269933,26.04661274,3.383576635,0.131166239,1.90338352,1.480193116,0.082526806,26.43526048,0.668690471,57.16607777,395.1097832,0.014850285
13,14:18:20,663.999997,0,10.27637228,0.137863622,267.6989683,2.017260425,1.475784735,26.0230217,6,1.420000017,1,2.840000033,26.06477547,26.0230217,26.07401848,413.3537292,400.0620422,16.88348198,19.25608253,49.26215363,56.18639755,500.3157959,1200.813843,7.485477924,98.82971191,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83385966,0.00201726,299.1730217,299.2147755,192.1302105,1.17659549,3.378857824,34.18868434,14.93260181,26.04389858,3.383033442,0.131481067,1.90307309,1.479960352,0.082726216,26.45661192,0.669143633,57.20136715,395.177147,0.014874912
14,14:18:36,679.4999967,0,10.3103147,0.136533866,266.1080725,2.009689081,1.483776958,26.05572701,6,1.420000017,1,2.840000033,26.06936836,26.05572701,26.07917404,413.4025574,400.0727539,16.87859726,19.24250603,49.23225784,56.12619019,500.2775879,1200.701538,7.248173237,98.82415009,2.01843524,-0.378784776,0.217479154,0.002548224,0.245542571,0.002501175,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83379598,0.002009689,299.205727,299.2193684,192.1122418,1.176448495,3.385401262,34.25682142,15.0143154,26.06254768,3.386767287,0.130271046,1.901624304,1.485142983,0.081959833,26.2979041,0.665149201,57.03236794,395.1717241,0.014880155
