obs,time,elapsed,date,TIME,E,A,Ci,Ca,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,blfa_1,blfa_2,blfa_3,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Heatx_setpoint,CO2_r_setpoint,H2O_r_setpoint,SS_s,SS_r,MatchH2O,MatchCO2,MatchValveR,MatchValveS
1855,1475427912,7350.4,20161002 11:05:11,1475427911,0.006487037,29.81070096,351.719309,467.148,29.60435598,39.32003542,0.503371711,2.002682774,0.442238823,0.281270731,165.1963533,25.95167348,24.9881,3.177422412,55.45904445,1.980588502,3.571263302,1.19683391,-0.034827187,0.039096568,3.021882094,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.036544468,0,-,0,0,0,0,0,0,1000.12,843.1016401,0.84300048,0.19600096,1475427911,467.148,499.971,23.5307,17.1998,600.331,83.9715,0.198903,26.9624,24.9881,999.9,10001.9,0,6.93277,1000.12,0.899984,0.100016,0,2.9247,0,7946.04,38.812,41.812,40.437,40.625,39.187,2.579388462,0.747046163,-244.7911112,7972.216154,15,2,527.528,663.238,25.3618,27.5948,30.0001,27.5431,27.5157,31.4705,43.693,0,25.367,500,17.2388,100.741,101.262,-0.031,5.465,100,100
1856,1475427914,7352.4,20161002 11:05:13,1475427913,0.006474838,29.80712451,351.5549258,467.14,29.59075919,39.31968018,0.5025162,2.00053306,0.441520516,0.280811195,165.2453662,25.9559063,24.9861,3.177043528,55.45568748,1.980503521,3.571326245,1.196540007,-0.034774348,0.039037252,3.018186078,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.036551921,0,-,0,0,0,0,0,0,999.8,842.8318799,0.84300048,0.19600096,1475427913,467.14,500.003,23.5295,17.201,599.43,83.9702,0.200884,26.9627,24.9861,999.9,9986.88,0,6.93277,1000.11,0.899984,0.100016,0,2.4517,0,7939.38,38.812,41.812,40.437,40.625,39.187,2.552865385,1.031600009,-217.9900855,7962.956538,15,2,518.015,664.059,25.3688,27.5948,30.0001,27.5431,27.5157,31.3896,43.693,0,25.3774,495.833,17.2388,100.741,101.263,-0.031,5.465,100,100
1857,1475427916,7354.4,20161002 11:05:15,1475427915,0.006480569,29.51667388,352.6364676,467.141,29.68114312,39.31890248,0.502715459,2.004933836,0.441791198,0.280975655,165.2453662,25.95749203,24.9877,3.177346632,55.45034776,1.980510611,3.571682939,1.196836022,-0.034882558,0.039158727,3.025753552,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.036196122,0,-,0,0,0,0,0,0,1000.11,843.092367,0.842999637,0.195999125,1475427915,467.141,499.681,23.5301,17.2028,600.074,83.969,0.200239,26.9644,24.9877,999.9,10018.1,0,6.93277,999.804,0.899984,0.100016,0,2.3657,0,7932.01,38.812,41.812,40.437,40.625,39.187,2.551761538,0.220670091,-203.2577777,7956.700385,15,2,500.489,662.631,25.3734,27.5948,30,27.5431,27.5157,31.2645,43.693,0,25.3774,490.667,17.2388,100.741,101.263,-0.031,5.465,100,100
1858,1475427918,7356.4,20161002 11:05:17,1475427917,0.006480063,28.5946856,355.6888295,466.939,29.93745627,39.30111023,0.502777918,2.003687317,0.441806486,0.280988566,165.2453662,25.95751317,24.986,3.177024585,55.44439538,1.980344546,3.571766872,1.196680038,-0.034851891,0.039124301,3.023609593,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.035113497,0,-,0,0,0,0,0,0,999.797,842.8293509,0.84300048,0.19600096,1475427917,466.939,498.554,23.5286,17.2021,600.104,83.9681,0.199447,26.9648,24.986,999.9,10009.4,0,6.93277,999.797,0.899984,0.100016,0,2.8224,0,7928.13,38.812,41.812,40.437,40.625,39.187,2.571569231,-0.29404444,-185.1340173,7950.783462,15,2,520.098,663.169,25.3781,27.5948,30.0001,27.5431,27.5157,31.1769,43.693,0,25.3864,490.667,17.2388,100.742,101.263,-0.031,5.465,100,100
1859,1475427920,7358.4,20161002 11:05:19,1475427919,0.006477243,27.218569,359.8691814,466.295,30.29014905,39.24799839,0.502483749,2.007159674,0.441670806,0.280892385,165.2437139,25.96011076,24.9854,3.176910928,55.44452422,1.980349148,3.571766872,1.196561779,-0.034937349,0.039220235,3.029582834,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.033470652,0,-,0,0,0,0,0,0,1000.1,843.083937,0.842999637,0.195999125,1475427919,466.295,496.537,23.528,17.2025,599.938,83.9693,0.200589,26.9648,24.9854,999.9,10033.8,0,6.93277,999.793,0.899984,0.100016,0,2.4477,0,7924.73,38.812,41.812,40.437,40.625,39.187,2.570392308,-0.754769222,-161.3141881,7943.923077,15,2,498.401,662.606,25.382,27.5948,30.0001,27.5431,27.5157,31.01,43.693,0,25.3864,485.833,17.2388,100.742,101.262,-0.031,5.465,100,100
1860,1475427922,7360.4,20161002 11:05:21,1475427921,0.006477788,25.91128153,363.3880093,465.155,30.58668344,39.15249917,0.502722091,2.005241512,0.441804467,0.280983495,165.2437139,25.96054359,24.9837,3.176588919,55.43745448,1.98027113,3.572081635,1.196317789,-0.034890129,0.039167226,3.0262828,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.03192005,0,-,0,0,0,0,0,0,1000.1,843.083937,0.842999637,0.195999125,1475427921,465.155,494.069,23.5268,17.2037,600.217,83.9713,0.199566,26.9663,24.9837,999.9,10020,0,6.93277,1000.1,0.900015,0.0999851,0,2.3783,0,7925.51,38.812,41.812,40.437,40.625,39.187,2.575842308,-0.297391446,-140.2147008,7939.429231,15,2,509.8,662.348,25.3854,27.5948,30.0001,27.5431,27.5157,30.8541,43.693,0,25.3864,480.667,17.2388,100.742,101.263,-0.031,5.465,100,100
1861,1475427924,7362.4,20161002 11:05:23,1475427923,0.006471431,25.06196852,364.8278899,463.55,30.70790461,39.01743692,0.502920457,2.000624292,0.441835379,0.281014697,165.1943705,25.96248372,24.9755,3.175036101,55.42194368,1.979961321,3.572522343,1.19507478,-0.03477659,0.039039769,3.018342912,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.030912631,0,-,0,0,0,0,0,0,1000.1,843.08478,0.84300048,0.19600096,1475427923,463.55,491.622,23.5231,17.2016,599.782,83.9704,0.200535,26.9684,24.9755,999.9,9987.5,0,6.93277,1000.1,0.899984,0.100016,0,2.6514,0,7922.08,38.812,41.812,40.437,40.625,39.187,2.583123077,0.101682059,-127.5254701,7935.357692,15,2,507.151,663.262,25.3894,27.5937,30.0001,27.5431,27.5157,30.7577,43.693,0,25.3974,480.667,17.2388,100.742,101.262,-0.031,5.465,100,100
1862,1475427926,7364.4,20161002 11:05:25,1475427925,0.006473237,24.26276298,365.7663184,461.664,30.78642592,38.85810099,0.502778675,1.999903863,0.44170666,0.280933164,165.2437139,25.9633046,24.9779,3.175490515,55.4115977,1.979754526,3.572816176,1.19573599,-0.03475889,0.039019899,3.017104507,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.029974088,0,-,0,0,0,0,0,0,999.786,842.8200779,0.84300048,0.19600096,1475427925,461.664,488.911,23.521,17.201,600.093,83.9697,0.199958,26.9698,24.9779,999.9,9982.5,0,6.93277,1000.1,0.899984,0.100016,0,2.4393,0,7916.58,38.812,41.812,40.437,40.625,39.187,2.574869231,0.578714543,-114.7196581,7930.262692,15,2,502.934,662.63,25.3923,27.5925,30,27.5431,27.5157,30.5826,43.693,0,25.3974,475.833,17.2388,100.742,101.261,-0.031,5.465,100,100
1863,1475427928,7366.4,20161002 11:05:27,1475427927,0.006468447,23.49695866,366.3668894,459.533,30.83755281,38.67945921,0.502608231,2.001791618,0.441625049,0.280875774,165.2437139,25.96752982,24.9739,3.174733189,55.40295069,1.979631646,3.57315201,1.195101543,-0.034805278,0.039071974,3.020349789,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.02905637,0,-,0,0,0,0,0,0,1000.1,843.083937,0.842999637,0.195999125,1475427927,459.533,486.012,23.5191,17.2005,599.783,83.9714,0.199833,26.9714,24.9739,999.9,9995.62,0,6.93277,999.793,0.899984,0.100016,0,2.5695,0,7908.83,38.812,41.812,40.437,40.625,39.187,2.582111538,1.149008555,-112.7340171,7926.476538,15,2,514.468,663.398,25.3965,27.5924,30.0001,27.5426,27.5154,30.3988,43.693,0,25.4145,470.667,17.2388,100.742,101.261,-0.031,5.465,100,100
1864,1475427930,7368.4,20161002 11:05:29,1475427929,0.006473845,22.92191118,366.1977791,457.152,30.82311351,38.4787915,0.503560608,1.999471701,0.442299298,0.281317681,165.2437139,25.96458538,24.9695,3.173900312,55.40249219,1.979626892,3.573173,1.19427342,-0.034748274,0.039007982,3.016361688,0,0,0,0,0,-1,-,0,0,0,0.5,0,0,0,0,0.028374294,0,-,0,0,0,0,0,0,1000.1,843.083937,0.842999637,0.195999125,1475427929,457.152,483.029,23.5192,17.1987,600.103,83.9703,0.200373,26.9715,24.9695,999.9,9979.38,0,6.93277,1000.1,0.900015,0.0999851,0,2.3324,0,7907.52,38.812,41.812,40.437,40.625,39.187,2.591953846,0.91430428,-114.2082052,7922.885769,15,2,495.066,662.377,25.401,27.5924,30.0001,27.5415,27.5142,30.2667,43.693,0,25.4145,470.667,17.2388,100.742,101.26,-0.031,5.465,100,100
